company_name,total_promoter_holding_pct,promoter_shares_encumbered,promoter_shares_encumbered_pct
DCM  Limited,48.54,0.0,0.0
DCM Shriram Limited,67.24,0.0,0.0
DCW Limited,44.86,5142168.0,3.88
DELPHI WORLD MONEY LIMITED,75.0,0.0,0.0
DIC India Limited,71.75,0.0,0.0
DLF Limited,74.08,0.0,0.0
DPSC Limited,59.47,389515856.0,67.26
DQ Entertainment (International) Limited,75.0,59461972.0,100.0
DS Kulkarni Developers Limited,95.0,0.0,0.0
Dabur India Limited,66.24,0.0,0.0
Dalmia Bharat Limited,55.84,0.0,0.0
Dalmia Bharat Sugar and Industries Limited,74.91,0.0,0.0
Damodar Industries Limited,70.38,4940000.0,30.12
Datamatics Global Services Limited,66.44,0.0,0.0
Dcm Financial Services Limited,39.5,0.0,0.0
De Nora India Limited,53.68,0.0,0.0
Debock Industries Limited,9.41,0.0,0.0
Deccan Cements Limited,56.25,0.0,0.0
Deepak Fertilizers And Petrochemicals Corporation Limited,45.46,12941000.0,22.55
Deepak Nitrite Limited,49.24,0.0,0.0
Delta Corp Limited,33.26,0.0,0.0
Delta Manufacturing Limited,72.12,0.0,0.0
Den Networks Limited,75.0,0.0,0.0
Dev Information Technology Limited,68.73,0.0,0.0
Devyani International Limited,62.72,3500.0,0.0
Dhampur Sugar Mills Limited,49.12,0.0,0.0
Dhani Services Limited,33.98,0.0,0.0
Dhanlaxmi Bank Limited,0.0,0.0,
Dhanuka Agritech Limited,70.18,0.0,0.0
Dharani Sugars & Chemicals Limited,61.55,11032168.0,53.98
Dhunseri Investments Limited,74.95,0.0,0.0
Dhunseri Tea & Industries Limited,68.9,0.0,0.0
Dhunseri Ventures Limited,75.0,0.0,0.0
DiGiSPICE Technologies Limited,72.89,0.0,0.0
Diamond Power Infrastructure Limited,90.58,307702.0,0.64
Diligent Media Corporation Limited,62.17,8830306.0,12.07
Dilip Buildcon Limited,70.15,15868880.0,15.47
Dish TV India Limited,4.04,8689621.0,11.68
Divi's Laboratories Limited,51.9,0.0,0.0
Dixon Technologies (India) Limited,33.24,0.0,0.0
Donear Industries Limited,74.56,0.0,0.0
Dr. Reddy's Laboratories Limited,26.82,0.0,0.0
Dredging Corporation of India Limited,73.47,0.0,0.0
Ducon Infratechnologies Limited,51.97,0.0,0.0
Dwarikesh Sugar Industries Limited,42.1,0.0,0.0
Dynacons Systems & Solutions Limited,61.01,0.0,0.0
Dynamatic Technologies Limited,41.87,0.0,0.0
EID Parry India Limited,42.23,11000.0,0.01
EIH Associated Hotels Limited,75.0,0.0,0.0
EIH Limited,32.85,0.0,0.0
EPL Limited,51.47,0.0,0.0
Eastern Silk Industries Limited,51.28,40488351.0,100.0
Easun Reyrolle Limited,36.03,0.0,0.0
Edelweiss Financial Services Limited,37.51,0.0,0.0
Educomp Solutions Limited,44.78,51771578.0,94.41
Eicher Motors Limited,49.11,0.0,0.0
Eimco Elecon (India) Limited,74.06,0.0,0.0
Elecon Engineering Company Limited,59.27,0.0,0.0
Electrosteel Castings Limited,46.21,32675270.0,11.44
Electrotherm (India) Limited,30.69,300000.0,7.67
Elgi Equipments Limited,31.36,664160.0,0.67
Elgi Rubber Company Limited,65.03,0.0,0.0
Emami Limited,54.84,26883449.0,11.23
Emami Paper Mills Limited,74.97,0.0,0.0
Emkay Global Financial Services Limited,73.89,0.0,0.0
Emmbi Industries Limited,59.83,0.0,0.0
Energy Development Company Limited,58.14,0.0,0.0
Engineers India Limited,51.32,0.0,0.0
