symbol,market_cap
DSSL,1378.79
DTIL,146.05
DUCOL,201.39
DUCON,106.25
DURLAX,142.49
DVL,842.0
DWARKESH,875.73
DYCL,1797.77
DYNAMATECH,7973.15
DYNAMIC,261.8
DYNPRO,277.15
E2E,5940.83
E2ERAIL,446.02
EASEMYTRIP,2876.75
EBANKNIFTY,11.46
EBBETF0430,25085.31
EBBETF0431,13039.84
EBBETF0433,6271.94
EBGNG,4842.07
ECAPINSURE,15.01
ECLERX,13449.25
ECOLINE,236.95
ECOSMOBLTY,825.0
EDELWEISS,10790.46
EEPL,150.33
EFCIL,2677.03
EFFWA,567.11
EFORCE,65.52
EGOLD,1451.91
EICHERMOT,195037.4
EIDPARRY,15019.57
EIEL,3730.01
EIFFL,620.0
EIHAHOTELS,1980.12
EIHOTEL,19980.39
EIMCOELECO,921.21
EKC,1338.19
ELANTAS,7563.41
ELCIDIN,2480.02
ELDEHSG,801.59
ELECON,11399.52
ELECTCAST,5063.55
ELECTHERM,1027.33
ELGIEQUIP,17341.26
ELGIRUBCO,264.01
ELGNZ,155.6
ELIN,611.17
ELIQUID,55.39
ELITECON,5930.44
ELLEN,3748.89
ELM250,137.82
ELPROINTL,1843.93
EMAMILTD,19424.25
EMAMIPAP,477.94
EMAMIREAL,390.12
EMAPARTNER,211.31
EMBASSY,40159.41
EMCURE,32144.91
EMIL,4809.36
EMKAY,585.43
EMKAYTOOLS,117.33
EMMBI,161.44
EMMIL,169.5
EMMVEE,18173.36
EMPOWER,226.94
EMSLIMITED,1932.47
EMUDHRA,4031.27
EMULTIMQ,32.89
ENCOMPAS,368.77
ENDURANCE,32774.44
ENERGY,315.97
ENERGYDEV,82.18
ENGINERSIN,14230.91
ENIFTY,15.82
ENIL,562.99
ENRIN,116807.53
ENTERO,5256.12
ENVIRO,215.9
EPACK,2708.83
EPACKPEB,2026.12
EPIGRAL,5166.61
EPL,7282.13
EPWINDIA,173.34
EQUAL200,19.1
EQUAL50,148.32
EQUAL50ADD,1262.27
EQUIPPP,183.51
EQUITASBNK,7623.78
ERIS,18301.52
ESABINDIA,9689.91
ESAFSFB,1366.03
ESCONET,183.63
ESCORTS,36673.53
ESENSEX,14.56
ESFL,320.42
ESG,101.46
ESILVER,1581.64
ESPRIT,144.4
ESSARSHPNG,558.63
ESSENTIA,140.94
ESTER,873.88
ETERNAL,237977.65
ETHOSLTD,6421.85
EUREKAFORB,9764.98
EUROBOND,425.08
EUROPRATIK,2766.55
EUROTEXIND,13.56
EVEREADY,2420.49
EVERESTIND,600.93
EVIETF,56.85
EVINDIA,159.72
EXCELINDUS,1200.56
EXCELLENT,56.32
EXCELSOFT,1070.28
EXICOM,1606.37
EXIDEIND,30557.5
EXIMROUTES,228.77
EXPLEOSOL,1267.96
EXXARO,305.13
FABTECH,755.66
FACT,58301.18
FAIRCHEMOR,702.98
FALCONTECH,37.77
FAZE3Q,1084.63
FCL,2678.35
FCSSOFT,288.91
FDC,5989.78
FEDDERSHOL,684.81
FEDERALBNK,70910.61
FEDFINA,5464.07
FEL,21.38
FELDVR,11.65
FELIX,376.82
FERMENTA,912.07
FIBERWEB,108.4
FIDEL,243.38
FIEMIND,5728.47
FILATEX,2024.91
FILATFASH,216.69
FINBUD,240.21
FINCABLES,15144.05
FINEORG,14171.04
FINIETF,274.09
FINKURVE,1015.23
FINOPB,1055.21
FINPIPE,10678.41
FIRSTCRY,12471.78
FISCHER,2477.33
FIVESTAR,14092.13
FLAIR,3344.2
FLEXIADD,13.86
FLEXITUFF,23.96
FLFL,29.66
FLUOROCHEM,39437.25
FLYSBS,745.79
FMCGIETF,817.76
