[2024-11-06 20:22:25] Starting Symbols.py...
[2024-11-06 20:22:27] Output of Symbols.py:
Symbols saved to Symbols.csv for 06112024

[2024-11-06 20:22:27] Starting StkData.py...
[2024-11-06 22:04:53] Output of StkData.py:
       SYMBOL
0  1018GS2026
1   20MICRONS
2  21STCENMGM
3      360ONE
4   3IINFOLTD
Stock data for WHIRLPOOL: ('Household Appliances', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for WILLAMAGOR: ('Investment Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for WINDLAS: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for WINDMACHIN: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for WINNY: ('Tour Travel Related Services', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for WINSOL: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for WINSOME: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for WIPL: ('Plywood Boards/ Laminates', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for WIPRO: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for WOCKPHARMA: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for WOL3D: ('Other Industrial Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for WOMANCART: ('E-Retail/ E-Commerce', 'Retailing', 'Consumer Discretionary', 'Consumer Services')
Stock data for WONDERLA: ('Amusement Parks/ Other Recreation', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for WORTH: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for WSI: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for WSTCSTPAPR: ('Paper & Paper Products', 'Paper Forest & Jute Products', 'Commodities', 'Forest Materials')
Stock data for WTICAB: ('Road Transport', 'Transport Services', 'Services', 'Services')
Stock data for XCHANGING: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for XELPMOC: ('Software Products', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for XPROINDIA: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for XTGLOBAL: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for YAARI: ('Diversified Commercial Services', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for YASHO: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for YASHOPTICS: ('Diversified consumer products', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for YATHARTH: ('Hospital', 'Healthcare Services', 'Healthcare', 'Healthcare')
Stock data for YATRA: ('Tour Travel Related Services', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for YCCL: ('Dyes And Pigments', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for YESBANK: ('Private Sector Bank', 'Banks', 'Financial Services', 'Financial Services')
Stock data for YUDIZ: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for YUKEN: ('Compressors Pumps & Diesel Engines', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for ZAGGLE: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for ZEAL: ('Logistics Solution Provider', 'Transport Services', 'Services', 'Services')
Stock data for ZEEL: ('TV Broadcasting & Software Production', 'Entertainment', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for ZEELEARN: ('Education', 'Other Consumer Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for ZEEMEDIA: ('TV Broadcasting & Software Production', 'Entertainment', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for ZENITHDRUG: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for ZENITHEXPO: ('Leather And Leather Products', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for ZENITHSTL: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for ZENSARTECH: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for ZENTEC: ('Aerospace & Defense', 'Aerospace & Defense', 'Industrials', 'Capital Goods')
Stock data for ZFCVINDIA: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for ZIMLAB: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for ZODIAC: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for ZODIACLOTH: ('Garments & Apparels', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for ZOMATO: ('E-Retail/ E-Commerce', 'Retailing', 'Consumer Discretionary', 'Consumer Services')
Stock data for ZOTA: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for ZTECH: ('Waste Management', 'Other Utilities', 'Utilities', 'Utilities')
Stock data for ZUARI: ('Fertilizers', 'Fertilizers & Agrochemicals', 'Commodities', 'Chemicals')
Stock data for ZUARIIND: ('Sugar', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for ZYDUSLIFE: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for ZYDUSWELL: ('Packaged Foods', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')

[2024-11-06 22:04:53] Starting Updated_Mktcap.py...
[2024-11-06 22:44:46] Output of Updated_Mktcap.py:
Market cap for 1018GS2026: 16942.5
Market cap for 20MICRONS: 873.87
Market cap for 21STCENMGM: 125.01
Market cap for 360ONE: 40900.12
Market cap for 3IINFOLTD: 500.13
Market cap for 3MINDIA: 39934.67
Market cap for 3PLAND: 78.12
Market cap for 522GS2025: 112430.4
Market cap for 574GS2026: 80765.1
Market cap for 5PAISA: 1604.77
Market cap for 619GS2034: 119722.9
Market cap for 63MOONS: 2743.98
Market cap for 654GS2032: 156390
Market cap for 664GS2035: 132064.16
Market cap for 679GS2027: 125077.7
Market cap for 679GS2034: 44074.8
Market cap for 689GS2025: 12232.8
Market cap for 68GS2060: 84242.36
Market cap for 695GS2061: 150601.5
Market cap for 697GR2034: 1697.4
Market cap for 699GS2026: 56414.4
Market cap for 699GS2051: 150906.1
Market cap for 702GS2027: 31951.7
Market cap for 702GS2031: 55695.6
Market cap for 704GS2029: 76775
Market cap for 706GS2028: 112665
Market cap for 709GS2054: 41360
Market cap for 710GS2029: 152978.1
Market cap for 717GS2030: 104627.4
Market cap for 718GS2033: 208537.5
Market cap for 718GS2037: 179912
Market cap for 71GS2034: 163200
Market cap for 723GS2039: 123084
Market cap for 725GS2063: 255456
Market cap for 726GS2032: 153772
Market cap for 726GS2033: 164320
Market cap for 727GS2026: 48186.69
Market cap for 732GS2030: 73640
Market cap for 733GS2026: 46335.8
Market cap for 734GS2064: 157046
Market cap for 736GS2052: 156750
Market cap for 737GS2028: 76800
Market cap for 738GS2027: 148106
Market cap for 73GS2053: 207636
Market cap for 741GS2036: 160110
Market cap for 746GS2073: 125061.3
Market cap for 754GS2036: 161814
Market cap for 757GS2033: 90300
Market cap for 759GS2026: 122153.5
Market cap for 759GS2029: 100057.39
Market cap for 762GS2039: 36610.95
Market cap for 772GS2055: 88140
Market cap for 788GS2030: 94162
Market cap for 824GS2027: 101207.98
Market cap for 824GS2033: 98708.03
Market cap for 833GS2036: 98685
Market cap for 897GS2030: 102465
Market cap for 915GS2024: 96094
Market cap for 92GS2030: 70177.08
Market cap for A2ZINFRA: 326.53
Market cap for AAATECH: 160.34
Market cap for AADHARHFC: 19639.6
Market cap for AAKASH: 116.34
Market cap for AAREYDRUGS: 183.66
Market cap for AARON: 291.16
Market cap for AARTECH: 167.99
Market cap for AARTIDRUGS: 4499.61
Market cap for AARTIIND: 18905.38
Market cap for AARTIPHARM: 6127.22
Market cap for AARTISURF: 17.75
Market cap for AARVEEDEN: 134.47
Market cap for AARVI: 223.02
Market cap for AATMAJ: 62.72
Market cap for AAVAS: 13373.34
Market cap for ABAN: 379.37
Market cap for ABB: 152086.64
Market cap for ABBOTINDIA: 39782.64
Market cap for ABCAPITAL: 53713.75
Market cap for ABCOTS: 365.32
Market cap for ABDL: 9268.2
Market cap for ABFRL: 32108.05
Market cap for ABGSEC: 43.15
Market cap for ABINFRA: 462.37
Market cap for ABMINTLLTD: 76.68
Market cap for ABREL: 32291.22
Market cap for ABSLAMC: 23789.31
Market cap for ABSLBANETF: 2706.72
Market cap for ABSLLIQUID: 48.86
Market cap for ABSLNN50ET: 63.01
Market cap for ABSLPSE: 33.81
Market cap for ABSMARINE: 651.8
Market cap for ACC: 44305.59
Market cap for ACCELYA: 2418.05
Market cap for ACCENTMIC: 543.12
Market cap for ACCORD: 11.47
Market cap for ACCURACY: 153.12
Market cap for ACE: 15790.43
Market cap for ACEINTEG: 34.9
Market cap for ACI: 8456.44
Market cap for ACL: 814.62
Market cap for ACLGATI: 1484.89
Market cap for ACSAL: 126.11
Market cap for ADANIENSOL: 128897.63
Market cap for ADANIENT: 351592.3
Market cap for ADANIGREEN: 271740.77
Market cap for ADANIPORTS: 296414.27
Market cap for ADANIPOWER: 237510.3
Market cap for ADFFOODS: 3379.4
Market cap for ADL: 53.88
Market cap for ADORWELD: 1777.32
Market cap for ADROITINFO: 55.53
Market cap for ADROITPP1: 21.24
Market cap for ADSL: 1616.07
Market cap for ADVANIHOTR: 645.13
Market cap for ADVENZYMES: 5590.68
Market cap for AEGISLOG: 28178.28
Market cap for AEROFLEX: 2608.65
Market cap for AERON: 236.41
Market cap for AESTHETIK: 142.76
Market cap for AETHER: 11549.08
Market cap for AFCONS: 17870.66
Market cap for AFFLE: 23032.59
Market cap for AFFORDABLE: 801.91
Market cap for AFIL: 426.66
Market cap for AGARIND: 1667.79
Market cap for AGARWALFT: 53.82
Market cap for AGI: 6113.9
Market cap for AGIIL: 1693.91
Market cap for AGNI: 76.19
Market cap for AGRITECH: 119.16
Market cap for AGROPHOS: 88.62
Market cap for AGSTRA: 1169.76
Market cap for AGUL: 30.16
Market cap for AHIMSA: 31.09
Market cap for AHL: 2041.06
Market cap for AHLADA: 127.66
Market cap for AHLEAST: 292.32
Market cap for AHLUCONT: 7120.78
Market cap for AIAENG: 34995.14
Market cap for AIIL: 29637.97
Market cap for AILIMITED: 43.17
Market cap for AIMTRON: 988.03
Market cap for AIRAN: 443.57
Market cap for AIROLAM: 176.23
Market cap for AIRTELPP: 46711.65
Market cap for AISL: 198.35
Market cap for AJANTPHARM: 38757.1
Market cap for AJMERA: 3481.92
Market cap for AJOONI: 138.31
Market cap for AKANKSHA: 283.33
Market cap for AKASH: 59.61
Market cap for AKG: 60.69
Market cap for AKI: 170.16
Market cap for AKIKO: 84.54
Market cap for AKSHAR: 66.15
Market cap for AKSHARCHEM: 249.43
Market cap for AKSHOPTFBR: 168.39
Market cap for AKUMS: 12698.55
Market cap for AKZOINDIA: 19263.55
Market cap for ALANKIT: 612.82
Market cap for ALBERTDAVD: 792.44
Market cap for ALEMBICLTD: 3505.07
Market cap for ALICON: 2194.86
Market cap for ALKALI: 121.68
Market cap for ALKEM: 69987.37
Market cap for ALKYLAMINE: 10891.98
Market cap for ALLCARGO: 5665.74
Market cap for ALLDIGI: 1465.93
Market cap for ALLETEC: 928.93
Market cap for ALMONDZ: 507.38
Market cap for ALOKINDS: 11266.13
Market cap for ALPA: 239.34
Market cap for ALPEXSOLAR: 2317.39
Market cap for ALPHA: 402.54
Market cap for ALPHAETF: 325.46
Market cap for ALPHAGEO: 256.63
Market cap for ALPL30IETF: 1566.02
Market cap for ALPSINDUS: 17.33
Market cap for ALUWIND: 165.86
Market cap for AMBANIORGO: 67.41
Market cap for AMBER: 21046.02
Market cap for AMBEY: 154.67
Market cap for AMBICAAGAR: 48.44
Market cap for AMBIKCO: 914.28
Market cap for AMBUJACEM: 143464.63
Market cap for AMDIND: 124.97
Market cap for AMEYA: 81.68
Market cap for AMIORG: 8544.86
Market cap for AMJLAND: 214.39
Market cap for AMJUMBO: 14.12
Market cap for AMNPLST: 1607.13
Market cap for AMRUTANJAN: 2128.55
Market cap for ANANDRATHI: 16554.31
Market cap for ANANTRAJ: 26318.75
Market cap for ANDHRAPAP: 1982.34
Market cap for ANDHRSUGAR: 1424.48
Market cap for ANGELONE: 26503.86
Market cap for ANIKINDS: 283.09
Market cap for ANKITMETAL: 53.62
Market cap for ANLON: 258.32
Market cap for ANMOL: 181.27
Market cap for ANNAPURNA: 882.62
Market cap for ANSALAPI: 181.96
Market cap for ANTGRAPHIC: 26.82
Market cap for ANUP: 7052.87
Market cap for ANURAS: 8103.05
Market cap for APARINDS: 37718.05
Market cap for APCL: 496.37
Market cap for APCOTEXIND: 2047.88
Market cap for APEX: 827.19
Market cap for APLAPOLLO: 42790.12
Market cap for APLLTD: 22408.2
Market cap for APOLLO: 3171.55
Market cap for APOLLOHOSP: 100217.19
Market cap for APOLLOPIPE: 2154.5
Market cap for APOLLOTYRE: 31196.16
Market cap for APOLSINHOT: 474.83
Market cap for APRAMEYA: 133.28
Market cap for APS: 978.61
Market cap for APTECHT: 1081.09
Market cap for APTUS: 16996.27
Market cap for ARCHIDPLY: 236.59
Market cap for ARCHIES: 92.9
Error fetching market cap for ARE&M
Market cap for ARENTERP: 14.76
Market cap for ARHAM: 261.75
Market cap for ARIES: 347.22
Market cap for ARIHANTACA: 130.19
Market cap for ARIHANTCAP: 1213.96
Market cap for ARIHANTSUP: 1570.67
Market cap for ARISTO: 108.24
Market cap for ARKADE: 2725.54
Market cap for ARMANFIN: 1505.39
Market cap for AROGRANITE: 81.55
Market cap for ARROWGREEN: 1489.41
Market cap for ARSHIYA: 96.17
Market cap for ARSSINFRA: 41.16
Market cap for ARTEMISMED: 3790.94
Market cap for ARTNIRMAN: 146.77
Market cap for ARVEE: 187.97
Market cap for ARVIND: 9867.24
Market cap for ARVINDFASN: 7829.39
Market cap for ARVSMART: 4373.23
Market cap for ASAHIINDIA: 17259.39
Market cap for ASAHISONG: 546.93
Market cap for ASAL: 1119.95
Market cap for ASALCBR: 1710.29
Market cap for ASHALOG: 131.49
Market cap for ASHAPURMIN: 2512.34
Market cap for ASHIANA: 3075.06
Market cap for ASHIMASYN: 636.12
Market cap for ASHOKA: 6768.24
Market cap for ASHOKAMET: 65.39
Market cap for ASHOKLEY: 63544.29
Market cap for ASIANENE: 1493.74
Market cap for ASIANHOTNR: 369.81
Market cap for ASIANPAINT: 278455.12
Market cap for ASIANTILES: 986.08
Market cap for ASKAUTOLTD: 8969.99
Market cap for ASMS: 649.36
Market cap for ASPINWALL: 216.06
Market cap for ASPIRE: 109.28
Market cap for ASTEC: 2151.37
Market cap for ASTERDM: 22088.47
Market cap for ASTRAL: 48621.49
Market cap for ASTRAMICRO: 7738.02
Market cap for ASTRAZEN: 19012.5
Market cap for ASTRON: 103.93
Market cap for ATALREAL: 137.66
Market cap for ATAM: 151.21
Market cap for ATFL: 2436.93
Market cap for ATGL: 81495.93
Market cap for ATL: 1043.71
Market cap for ATLANTAA: 466.83
Market cap for ATMASTCO: 516.46
Market cap for ATUL: 23587.41
Market cap for ATULAUTO: 1713.36
Market cap for AUBANK: 45399.22
Market cap for AURDIS: 306.48
Market cap for AURIONPRO: 9375.26
Market cap for AUROIMPEX: 103.04
Market cap for AUROPHARMA: 80978.27
Market cap for AURUM: 681.6
Market cap for AURUMPP1: 740.21
Market cap for AUSL: 127.9
Market cap for AUSOMENT: 156.6
Market cap for AUTOAXLES: 2751.21
Market cap for AUTOBEES: 285.35
Market cap for AUTOIETF: 110.38
Market cap for AUTOIND: 459.57
Market cap for AVADHSUGAR: 1273.17
Market cap for AVALON: 3897.37
Market cap for AVANTEL: 4176.7
Market cap for AVANTIFEED: 8107.3
Market cap for AVG: 641.03
Market cap for AVIANSH: 114.96
Market cap for AVL: 5683.69
Market cap for AVONMORE: 373.65
Market cap for AVPINFRA: 410.16
Market cap for AVROIND: 149.35
Market cap for AVSL: 89.03
Market cap for AVTNPL: 1298.98
Market cap for AWFIS: 5265.89
Market cap for AWHCL: 2353.16
Market cap for AWL: 44578.98
Market cap for AXISBANK: 361671.77
Market cap for AXISBNKETF: 243.95
Market cap for AXISBPSETF: 1201.13
Market cap for AXISCADES: 2188.83
Market cap for AXISCETF: 13.67
Market cap for AXISGOLD: 1186.47
Market cap for AXISHCETF: 21.45
Market cap for AXISILVER: 149.62
Market cap for AXISNIFTY: 694.45
Market cap for AXISTECETF: 175.18
Market cap for AXITA: 490.1
Market cap for AXSENSEX: 129.9
Market cap for AYMSYNTEX: 1278.43
Market cap for AZAD: 9948.72
Market cap for BABAFP: 92.98
Market cap for BAFNAPH: 192.8
Market cap for BAGFILMS: 222.47
Market cap for BAHETI: 476.95
Market cap for BAIDFIN: 182.38
Market cap for BAJAJ-AUTO: 279927.83
Market cap for BAJAJCON: 3207.04
Market cap for BAJAJELEC: 10194.55
Market cap for BAJAJFINSV: 279439.82
Market cap for BAJAJHCARE: 1061.16
Market cap for BAJAJHFL: 114553.66
Market cap for BAJAJHIND: 4489.92
Market cap for BAJAJHLDNG: 117971.12
Market cap for BAJEL: 2988.9
Market cap for BAJFINANCE: 432678.53
Market cap for BALAJEE: 588.62
Market cap for BALAJITELE: 621.86
Market cap for BALAMINES: 6895.42
Market cap for BALAXI: 482.4
Market cap for BALCO: 22.23
Market cap for BALKRISHNA: 77.17
Market cap for BALKRISIND: 55482.03
Market cap for BALMLAWRIE: 4130.26
Market cap for BALPHARMA: 202.04
Market cap for BALRAMCHIN: 12234.07
Market cap for BALUFORGE: 8572.58
Market cap for BANARBEADS: 87.7
Market cap for BANARISUG: 4413.97
Market cap for BANCOINDIA: 5435.42
Market cap for BANDHANBNK: 29537.16
Market cap for BANG: 75.91
Market cap for BANKA: 138.98
Market cap for BANKBARODA: 136006.83
Market cap for BANKBEES: 7446.98
Market cap for BANKBETF: 346.69
Market cap for BANKETF: 197.7
Market cap for BANKETFADD: 538.47
Market cap for BANKIETF: 2971.54
Market cap for BANKINDIA: 51718.31
Market cap for BANKNIFTY1: 5347.65
Market cap for BANKPSU: 27.44
Market cap for BANSALWIRE: 6546.39
Market cap for BANSWRAS: 490.55
Market cap for BARBEQUE: 2236.93
Market cap for BASF: 35849.6
Market cap for BASILIC: 911.24
Market cap for BASML: 395.54
Market cap for BATAINDIA: 17442.47
Market cap for BAWEJA: 141.43
Market cap for BAYERCROP: 33441.58
Market cap for BBETF0432: 10533.62
Market cap for BBL: 5367.85
Market cap for BBNPNBETF: 9.63
Market cap for BBNPPGOLD: 75.79
Market cap for BBOX: 9239.09
Market cap for BBTC: 19574.86
Market cap for BBTCL: 438.94
Market cap for BCLIND: 1692.76
Market cap for BCONCEPTS: 612.49
Market cap for BDL: 39680.39
Market cap for BEACON: 205.04
Market cap for BEARDSELL: 173.52
Market cap for BECTORFOOD: 11297.25
Market cap for BEDMUTHA: 726.65
Market cap for BEL: 220462.93
Market cap for BEML: 17274.14
Market cap for BEPL: 3471.58
Market cap for BERGEPAINT: 61204.29
Market cap for BESTAGRO: 1374.94
Market cap for BETA: 1903.53
Market cap for BEWLTD: 385.01
Market cap for BFINVEST: 2553.87
Market cap for BFSI: 262.39
Market cap for BFUTILITIE: 3512.32
Market cap for BGRENERGY: 306.69
Market cap for BHAGCHEM: 4372.65
Market cap for BHAGERIA: 917.62
Market cap for BHAGYANGR: 342.38
Market cap for BHANDARI: 162.75
Market cap for BHARATFORG: 68441.53
Market cap for BHARATGEAR: 156.93
Market cap for BHARATRAS: 4975.1
Market cap for BHARATWIRE: 1622.38
Market cap for BHARTIARTL: 909368.14
Market cap for BHARTIHEXA: 73400
Market cap for BHEL: 86511.86
Market cap for BHINVIT: 5082.72
Market cap for BIGBLOC: 1826.33
Market cap for BIKAJI: 21889.66
Market cap for BIKEWO: 41.22
Market cap for BIL: 909.48
Market cap for BINANIIND: 54.14
Market cap for BIOCON: 38893.44
Market cap for BIOFILCHEM: 110.66
Market cap for BIRDYS: 44.71
Market cap for BIRET: 14026.04
Market cap for BIRLACABLE: 694.05
Market cap for BIRLACORPN: 9154.78
Market cap for BIRLAMONEY: 907.48
Market cap for BLAL: 1016.54
Market cap for BLBLIMITED: 111.6
Market cap for BLISSGVS: 1356.36
Market cap for BLKASHYAP: 1845.23
Market cap for BLS: 17169.6
Market cap for BLSE: 2054.54
Market cap for BLUECHIP: 50.16
Market cap for BLUEDART: 18793
Market cap for BLUEJET: 9471.21
Market cap for BLUEPEBBLE: 137.48
Market cap for BLUESTARCO: 38598.01
Market cap for BMETRICS: 74.5
Market cap for BODALCHEM: 1008.81
Market cap for BOMDYEING: 4898.59
Market cap for BOROLTD: 5964.44
Market cap for BORORENEW: 5947.37
Market cap for BOROSCI: 1715.39
Market cap for BOSCHLTD: 107061.77
Market cap for BOSS: 25.92
Market cap for BPCL: 137422.16
Market cap for BPL: 552.69
Market cap for BRACEPORT: 125.67
Market cap for BRIGADE: 29355.77
Market cap for BRITANNIA: 137054.06
Market cap for BRNL: 389.53
Market cap for BROOKS: 381.63
Market cap for BSE: 63681.04
Market cap for BSE500IETF: 296.61
Market cap for BSHSL: 1713.21
Market cap for BSL: 257.03
Market cap for BSLGOLDETF: 961.34
Market cap for BSLNIFTY: 2798.12
Market cap for BSLSENETFG: 334.5
Market cap for BSOFT: 16098.16
Market cap for BTML: 148.7
Market cap for BULKCORP: 78.86
Market cap for BURNPUR: 59.86
Market cap for BUTTERFLY: 1534.07
Market cap for BVCL: 122.79
Market cap for BYKE: 404.07
Market cap for CADSYS: 99.03
Market cap for CALSOFT: 30.13
Market cap for CAMLINFINE: 1926.19
Market cap for CAMPUS: 9342.33
Market cap for CAMS: 23010.21
Market cap for CANARYS: 232.04
Market cap for CANBK: 95604.66
Market cap for CANFINHOME: 11571.76
Market cap for CANTABIL: 1920.33
Market cap for CAPACITE: 3196.76
Market cap for CAPITALSFB: 1343.06
Market cap for CAPLIPOINT: 15924.45
Market cap for CAPTRUST: 195.61
Market cap for CARBORUNIV: 27785.14
Market cap for CAREERP: 946.94
Market cap for CARERATING: 4502.76
Market cap for CARTRADE: 5661.35
Market cap for CARYSIL: 2338.6
Market cap for CASTROLIND: 21478.79
Market cap for CBAZAAR: 34.54
Market cap for CCCL: 669.5
Market cap for CCHHL: 395.09
Market cap for CCL: 9507.86
Market cap for CDSL: 32896.6
Market cap for CEATLTD: 11285.58
Market cap for CEIGALL: 5943
Market cap for CELEBRITY: 88.22
Market cap for CELLECOR: 1282.18
Market cap for CELLO: 18996.11
Market cap for CELLPOINT: 56.62
Market cap for CENTENKA: 1372.22
Market cap for CENTEXT: 193.28
Market cap for CENTRALBK: 50653.28
Market cap for CENTRUM: 1487.32
Market cap for CENTUM: 2295.63
Market cap for CENTURYPLY: 18750.29
Market cap for CERA: 9292.68
Market cap for CEREBRAINT: 117.59
Market cap for CESC: 24755.03
Market cap for CGCL: 12906.19
Market cap for CGPOWER: 111235.72
Market cap for CGRAPHICS: 444.43
Market cap for CHALET: 19118.34
Market cap for CHAMBLFERT: 20148.8
Market cap for CHAVDA: 425.32
Market cap for CHEMBOND: 791.84
Market cap for CHEMCON: 922.03
Market cap for CHEMFAB: 1473.09
Market cap for CHEMPLASTS: 7653.29
Market cap for CHENNPETRO: 9932.39
Market cap for CHETANA: 180.34
Market cap for CHEVIOT: 768.21
Market cap for CHOICEIN: 10626.9
Market cap for CHOLAFIN: 109639.9
Market cap for CHOLAHLDNG: 32203.83
Market cap for CIEINDIA: 19089.51
Market cap for CIGNITITEC: 3835.66
Market cap for CINELINE: 365.11
Market cap for CINEVISTA: 106.03
Market cap for CIPLA: 128892.23
Market cap for CLEAN: 16397.11
Market cap for CLEDUCATE: 613.47
Market cap for CLOUD: 81.47
Market cap for CLSEL: 1721
Market cap for CMMIPL: 3.84
Market cap for CMNL: 302.65
Market cap for CMRSL: 37.45
Market cap for CMSINFO: 8730.3
Market cap for COALINDIA: 269187.97
Market cap for COASTCORP: 343.59
Market cap for COCHINSHIP: 40538.12
Market cap for COFORGE: 52344.64
Market cap for COLPAL: 81051.72
Market cap for COMMITTED: 57.72
Market cap for COMMOIETF: 34.92
Market cap for COMPUSOFT: 232.63
Market cap for COMSYN: 269
Market cap for CONCOR: 52429.78
Market cap for CONCORDBIO: 19244.15
Market cap for CONFIPET: 2528.65
Market cap for CONS: 5.24
Market cap for CONSOFINVT: 689.52
Market cap for CONSUMBEES: 122.71
Market cap for CONSUMIETF: 54.38
Market cap for CONTROLPR: 1162.78
Market cap for COOLCAPS: 922.49
Market cap for CORALFINAC: 225.73
Market cap for CORDSCABLE: 283.38
Market cap for COROMANDEL: 50968.68
Market cap for COSMOFIRST: 2007.05
Market cap for COUNCODOS: 52.69
Market cap for CPS: 101.48
Market cap for CPSEETF: 40676.16
Market cap for CRAFTSMAN: 12010.33
Market cap for CRAYONS: 272.39
Market cap for CREATIVE: 1293.31
Market cap for CREATIVEYE: 17.43
Market cap for CREDITACC: 15142.49
Market cap for CREST: 1493.63
Market cap for CRISIL: 40256.41
Market cap for CROMPTON: 25874.72
Market cap for CROWN: 312.01
Market cap for CSBBANK: 5429.24
Market cap for CSLFINANCE: 786
Market cap for CTE: 190.42
Market cap for CUB: 13295.06
Market cap for CUBEXTUB: 154.64
Market cap for CUMMINSIND: 99847.44
Market cap for CUPID: 1269.32
Market cap for CYBERMEDIA: 47.63
Market cap for CYBERTECH: 703.55
Market cap for CYIENT: 21194.46
Market cap for CYIENTDLM: 5108.9
Market cap for DABUR: 95740.26
Market cap for DALBHARAT: 34047.4
Market cap for DALMIASUG: 3835.71
Market cap for DAMODARIND: 101.68
Market cap for DANGEE: 79.22
Market cap for DANISH: 1578.97
Market cap for DATAMATICS: 3465.15
Market cap for DATAPATTNS: 13452.95
Market cap for DAVANGERE: 634.13
Market cap for DBCORP: 5763.89
Market cap for DBEIL: 739.7
Market cap for DBL: 7334.14
Market cap for DBOL: 892.91
Market cap for DBREALTY: 9503.92
Market cap for DBSTOCKBRO: 157.5
Market cap for DCAL: 3052.57
Market cap for DCBBANK: 3833.11
Market cap for DCG: 254.09
Market cap for DCI: 497.9
Market cap for DCM: 176.69
Market cap for DCMFINSERV: 13.69
Market cap for DCMNVL: 379.16
Market cap for DCMSHRIRAM: 17434.35
Market cap for DCMSRIND: 1661.55
Market cap for DCW: 3246.71
Market cap for DCXINDIA: 3842.83
Market cap for DECCANCE: 829.17
Market cap for DECCANTRAN: 157.93
Market cap for DEEDEV: 1916.94
Market cap for DEEM: 81.58
Market cap for DEEPAKFERT: 17524.97
Market cap for DEEPAKNTR: 38888.38
Market cap for DEEPINDS: 3360
Market cap for DELAPLEX: 217.09
Market cap for DELHIVERY: 26290.91
Market cap for DELPHIFX: 318.26
Market cap for DELTACORP: 3197.19
Market cap for DELTAMAGNT: 99.23
Market cap for DEN: 2319.31
Market cap for DENEERS: 217.05
Market cap for DENORA: 688.53
Market cap for DENTALKART: 1001.01
Market cap for DESTINY: 218.05
Market cap for DEVIT: 346.94
Market cap for DEVYANI: 20868.41
Market cap for DGCONTENT: 254.68
Market cap for DHAMPURSUG: 1304.48
Market cap for DHANBANK: 890.1
Market cap for DHANI: 3998.23
Market cap for DHANUKA: 7370.01
Market cap for DHARIWAL: 131.59
Market cap for DHARMAJ: 1150.63
Market cap for DHRUV: 201.69
