[2024-11-06 20:22:25] Starting Symbols.py...
[2024-11-06 20:22:27] Output of Symbols.py:
Symbols saved to Symbols.csv for 06112024

[2024-11-06 20:22:27] Starting StkData.py...
[2024-11-06 22:04:53] Output of StkData.py:
       SYMBOL
0  1018GS2026
1   20MICRONS
2  21STCENMGM
3      360ONE
4   3IINFOLTD
Stock data for ARVEE: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for ARVIND: ('Garments & Apparels', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for ARVINDFASN: ('Speciality Retail', 'Retailing', 'Consumer Discretionary', 'Consumer Services')
Stock data for ARVSMART: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for ASAHIINDIA: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for ASAHISONG: ('Dyes And Pigments', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for ASAL: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for ASALCBR: ('Breweries & Distilleries', 'Beverages', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for ASHALOG: ('Logistics Solution Provider', 'Transport Services', 'Services', 'Services')
Stock data for ASHAPURMIN: ('Industrial Minerals', 'Minerals & Mining', 'Commodities', 'Metals & Mining')
Stock data for ASHIANA: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for ASHIMASYN: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for ASHOKA: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for ASHOKAMET: ('Trading - Metals', 'Metals & Minerals Trading', 'Commodities', 'Metals & Mining')
Stock data for ASHOKLEY: ('Commercial Vehicles', 'Agricultural Commercial & Construction Vehicles', 'Industrials', 'Capital Goods')
Stock data for ASIANENE: ('Oil Equipment & Services', 'Oil', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for ASIANHOTNR: ('Hotels & Resorts', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for ASIANPAINT: ('Paints', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for ASIANTILES: ('Ceramics', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for ASKAUTOLTD: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for ASMS: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for ASPINWALL: ('Logistics Solution Provider', 'Transport Services', 'Services', 'Services')
Stock data for ASPIRE: ('Household Appliances', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for ASTEC: ('Pesticides & Agrochemicals', 'Fertilizers & Agrochemicals', 'Commodities', 'Chemicals')
Stock data for ASTERDM: ('Hospital', 'Healthcare Services', 'Healthcare', 'Healthcare')
Stock data for ASTRAL: ('Plastic Products - Industrial', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for ASTRAMICRO: ('Aerospace & Defense', 'Aerospace & Defense', 'Industrials', 'Capital Goods')
Stock data for ASTRAZEN: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for ASTRON: ('Paper & Paper Products', 'Paper Forest & Jute Products', 'Commodities', 'Forest Materials')
Stock data for ATALREAL: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for ATAM: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for ATFL: ('Edible Oil', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for ATGL: ('LPG/CNG/PNG/LNG Supplier', 'Gas', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for ATL: ('Port & Port services', 'Transport Infrastructure', 'Services', 'Services')
Stock data for ATLANTAA: ('Road Assets - Toll Annuity Hybrid-Annuity', 'Transport Infrastructure', 'Services', 'Services')
Stock data for ATMASTCO: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for ATUL: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for ATULAUTO: ('Commercial Vehicles', 'Agricultural Commercial & Construction Vehicles', 'Industrials', 'Capital Goods')
Stock data for AUBANK: ('Other Bank', 'Banks', 'Financial Services', 'Financial Services')
Stock data for AURDIS: ('Breweries & Distilleries', 'Beverages', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for AURIONPRO: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for AUROIMPEX: ('Other Industrial Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for AUROPHARMA: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
