symbol,company,anex,acqName,date,pid,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,tdpTransactionType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
PKTEA,The Peria Karamalai Tea & Produce Company Limited,7(2),Maharaja Shree Umaid Mills Ltd,25-Apr-2026 22:10,1197811,0,0,0,0,Equity Shares,1220606,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197811_1659050_25042026101017_WEB.xml,Promoter Group,121275,3.92,0,Equity Shares,1341881,43.34,25-Apr-2026,25-Apr-2026,25-Apr-2026,Scheme of Amalgamation/Merger/Demerger/Arrangement,-,NA,-
PKTEA,The Peria Karamalai Tea & Produce Company Limited,7(2),PLACID LIMITED,25-Apr-2026 22:10,1197811,0,0,0,0,Equity Shares,1220606,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197811_1659050_25042026101017_WEB.xml,Promoter Group,1220606,39.43,0,Equity Shares,Nil,0,25-Apr-2026,25-Apr-2026,25-Apr-2026,Scheme of Amalgamation/Merger/Demerger/Arrangement,-,NA,-
SAIFL,Sameera Agro And Infra Limited,7(2),Satya Murthy Sivalenka,25-Apr-2026 16:32,1197809,0,0,0,0,Equity Shares,1601000,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197809_1658955_25042026043253_WEB.xml,Promoters,5380000,9.03,15369600,Equity Shares,3779000,6.34,22-Apr-2026,23-Apr-2026,25-Apr-2026,Market Sale,-,NSE,-
PARIN,Parin Enterprises Limited,7(2),P.P. FURNITURE  PRIVATE LIMITED,25-Apr-2026 15:24,1197807,0,0,0,0,Equity Shares,9000,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197807_1658919_25042026032420_WEB.xml,Promoter Group,1332250,11.98,5630670,Equity Shares,1323250,11.9,24-Apr-2026,24-Apr-2026,25-Apr-2026,Market Sale,-,NSE,-
MGEL,Mangalam Global Enterprise Limited,7(2),Vasrsha Biswajit Adhikari,24-Apr-2026 17:28,1197805,0,0,0,0,Equity Shares,10000,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197805_1658560_24042026052820_WEB.xml,Director,Nil,0,104400,Equity Shares,10000,0,20-Mar-2026,20-Mar-2026,22-Apr-2026,Market Purchase,-,NSE,-
WIPRO,Wipro Limited,7(2),Amit Kumar,24-Apr-2026 17:13,1197803,0,0,0,0,ADR/GDR/FCCB,301829,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197803_1658529_24042026051342_WEB.xml,Employees/Designated Employees,301829,0,59912261,ADR/GDR/FCCB,Nil,0,22-Apr-2026,22-Apr-2026,23-Apr-2026,ESOP,-,NA,-
OMAXE,Omaxe Limited,7(2),Guild Builders Private Limited,24-Apr-2026 17:08,1197801,0,0,0,0,Equity Shares,35257799,Pledge,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197801_1658515_24042026050849_WEB.xml,Promoters,116273971,63.57,352577990,Equity Shares,116273971,63.57,20-Apr-2026,20-Apr-2026,22-Apr-2026,Others,-,NA,-
PARIN,Parin Enterprises Limited,7(2),P.P. FURNITURE  PRIVATE LIMITED,24-Apr-2026 16:29,1197798,0,0,0,0,Equity Shares,8250,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197798_1658444_24042026042903_WEB.xml,Promoter Group,1340500,12.05,5042730,Equity Shares,1332250,11.98,23-Apr-2026,23-Apr-2026,24-Apr-2026,Market Sale,-,NSE,-
PARIN,Parin Enterprises Limited,7(2),P.P. FURNITURE  PRIVATE LIMITED,24-Apr-2026 16:29,1197798,0,0,0,0,Equity Shares,14000,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197798_1658444_24042026042903_WEB.xml,Promoter Group,1354500,12.18,8458940,Equity Shares,1340500,12.05,22-Apr-2026,22-Apr-2026,24-Apr-2026,Market Sale,-,NSE,-
JMFINANCIL,JM Financial Limited,7(2),Devan Kampani,24-Apr-2026 13:09,1197797,0,0,0,0,Equity Shares,31936,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197797_1658223_24042026010925_WEB.xml,Employees/Designated Employees,1464093,0.15,4237907,Equity Shares,1496029,0.16,20-Apr-2026,20-Apr-2026,22-Apr-2026,ESOP,-,NA,-
JMFINANCIL,JM Financial Limited,7(2),Krishna Rao,24-Apr-2026 13:09,1197797,0,0,0,0,Equity Shares,13707,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197797_1658223_24042026010925_WEB.xml,Employees/Designated Employees,5392,0,1818919,Equity Shares,19099,0,20-Apr-2026,20-Apr-2026,22-Apr-2026,ESOP,-,NA,-
JMFINANCIL,JM Financial Limited,7(2),Venugopal Nyalapelli,24-Apr-2026 13:09,1197797,0,0,0,0,Equity Shares,9758,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197797_1658223_24042026010925_WEB.xml,Employees/Designated Employees,Nil,0,1294887,Equity Shares,9758,0,20-Apr-2026,20-Apr-2026,24-Apr-2026,ESOP,-,NA,-
JMFINANCIL,JM Financial Limited,7(2),Rushank Jain,24-Apr-2026 13:09,1197797,0,0,0,0,Equity Shares,16920,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197797_1658223_24042026010925_WEB.xml,Employees/Designated Employees,1528,0,2245284,Equity Shares,18448,0,20-Apr-2026,20-Apr-2026,22-Apr-2026,ESOP,-,NA,-
JMFINANCIL,JM Financial Limited,7(2),Pratik Rokade,24-Apr-2026 13:09,1197797,0,0,0,0,Equity Shares,16920,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197797_1658223_24042026010925_WEB.xml,Employees/Designated Employees,11028,0,2245284,Equity Shares,27948,0,20-Apr-2026,20-Apr-2026,22-Apr-2026,ESOP,-,NA,-
GAYAPROJ,Gayatri Projects Limited,7(2),T V Sandeep Kumar Reddy,23-Apr-2026 19:32,1197794,0,0,0,0,Equity Shares,100000000,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197794_1657982_23042026073250_WEB.xml,Promoters,Nil,0,1000000000,Equity Shares,100000000,21.54,22-Apr-2026,22-Apr-2026,23-Apr-2026,Preferential Offer,-,NA,-
HCLTECH,HCL Technologies Limited,7(2),HCL Technologies Stock Options Trust,23-Apr-2026 18:36,1197792,0,0,0,0,Equity Shares,653,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197792_1657937_23042026063646_WEB.xml,-,7898121,0.29,944173,Equity Shares,7897468,0.29,20-Apr-2026,20-Apr-2026,22-Apr-2026,ESOP,-,NA,-
HCLTECH,HCL Technologies Limited,7(2),HCL Technologies Stock Options Trust,23-Apr-2026 18:36,1197792,0,0,0,0,Equity Shares,261,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197792_1657937_23042026063646_WEB.xml,-,7898382,0.29,378972,Equity Shares,7898121,0.29,10-Apr-2026,10-Apr-2026,22-Apr-2026,ESOP,-,NA,-
ECLERX,eClerx Services Limited,7(2),Eclerx Employee Welfare Trust,23-Apr-2026 14:59,1197789,0,0,0,0,Equity Shares,1731,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197789_1657644_23042026025915_WEB.xml,Other,2008966,2.13,707096,Equity Shares,2007235,2.13,21-Apr-2026,22-Apr-2026,22-Apr-2026,Off Market,-,NA,-
ECLERX,eClerx Services Limited,7(2),Eclerx Employee Welfare Trust,23-Apr-2026 14:59,1197789,0,0,0,0,Equity Shares,1055,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197789_1657644_23042026025915_WEB.xml,Other,2006952,2.13,756065,Equity Shares,2005897,2.13,21-Apr-2026,22-Apr-2026,22-Apr-2026,Off Market,-,NA,-
ECLERX,eClerx Services Limited,7(2),Eclerx Employee Welfare Trust,23-Apr-2026 14:59,1197789,0,0,0,0,Equity Shares,2700,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197789_1657644_23042026025915_WEB.xml,Other,2005897,2.13,1916757,Equity Shares,2003197,2.12,21-Apr-2026,22-Apr-2026,22-Apr-2026,Off Market,-,NA,-
